Local Time,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2023-02-04 04:00:00,69.0,0.21157663691538736,11.205660192803036,0.015876583333333336,26.3,21.0,12.944744482252679,100,0.0,1012,96,19.2,0.0,2.0
2023-02-04 05:00:00,78.0,0.19301166726169225,10.377415743769768,0.015736495833333336,31.3,25.0,12.140071176599134,100,0.0,1012,96,19.3,0.0,1.33
2023-02-04 06:00:00,82.0,0.17452671902891825,9.59789155644434,0.0155497125,33.8,27.0,11.300412075047605,100,0.75,1013,96,19.4,0.0,0.66
2023-02-04 07:00:00,74.0,0.15596174937522314,8.769647107411071,0.015409625,28.8,23.0,10.495738769394062,100,0.0,1013,96,19.5,0.6,1.6
2023-02-04 08:00:00,67.0,0.15364112816851125,9.744052341567857,0.015876583333333336,25.0,20.0,12.594886523272875,100,0.5,1013,95,19.8,0.8,0.66
2023-02-04 09:00:00,80.0,0.15132050696179933,10.718457575724644,0.016343541666666666,32.5,26.0,14.694034277151687,100,0.25,1014,94,20.2,1.1,1.33
2023-02-04 10:00:00,74.0,0.14899988575508746,11.69286280988143,0.016810500000000003,28.8,23.0,16.7931820310305,100,0.0,1014,93,20.5,1.6,2.0
2023-02-04 11:00:00,102.0,0.1661244698322028,14.128875895273394,0.017137370833333335,45.0,36.0,25.784531576811414,100,0.0,1013,90,20.9,2.1,2.0
2023-02-04 12:00:00,118.0,0.18324905390931812,16.564888980665355,0.017417545833333332,52.5,42.0,34.74089532669434,100,0.0,1012,88,21.3,2.4,2.0
2023-02-04 13:00:00,115.0,0.2003736379864334,19.00090206605732,0.01774441666666667,51.3,41.0,43.732244872475256,100,0.0,1011,85,21.7,2.3,2.0
2023-02-04 14:00:00,134.0,0.18989083184576938,18.854741280933805,0.018678333333333335,60.0,48.0,42.68267099553586,100,0.0,1011,86,21.7,1.8,2.0
2023-02-04 15:00:00,155.0,0.17948804712602642,18.659860234102446,0.01961225,73.8,59.0,41.633097118596446,100,0.0,1010,88,21.6,1.3,2.0
2023-02-04 16:00:00,137.0,0.1690852624062835,18.51369944897893,0.020546166666666667,61.3,49.0,40.58352324165705,100,0.0,1010,89,21.6,0.9,2.0
2023-02-04 17:00:00,129.0,0.17188601213852198,19.829146515090592,0.018818420833333332,57.5,46.0,41.73805450629039,100,0.0,1010,90,21.5,0.7,2.0
2023-02-04 18:00:00,129.0,0.1746867618707605,21.09587331949441,0.017137370833333335,57.5,46.0,42.92757156682172,100,0.0,1010,92,21.3,0.0,2.0
2023-02-04 19:00:00,159.0,0.17748751160299894,22.41132038560607,0.015409625,77.5,62.0,44.08210283145506,100,0.0,1010,94,21.2,0.0,2.0
2023-02-04 20:00:00,121.0,0.19333175294537666,20.803551749247376,0.016483629166666666,53.8,43.0,40.58352324165705,100,0.0,1011,94,20.9,0.0,2.33
2023-02-04 21:00:00,93.0,0.20925601570867547,19.147062851180838,0.01760432916666667,40.0,32.0,37.08494365185902,100,0.0,1011,95,20.5,0.0,2.66
2023-02-04 22:00:00,102.0,0.22510025705105322,17.539294214822142,0.018678333333333335,45.0,36.0,33.586364062061,100,0.0,1012,96,20.2,0.0,3.0
2023-02-04 23:00:00,89.0,0.23630325598000715,15.444322961385053,0.01928537916666667,37.5,30.0,29.98282708456904,100,0.0,1012,96,20.2,0.0,2.66
