,AQI,PM25,PM10,O3,CO,SO2,NO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2023-07-14,107,37.194583333333334,50.425000000000004,0.07284550000000001,0.1356263057836487,32.53679018512159,10.718457575724644,70.04166666666667,0.08333333333333333,1001.9166666666666,75.625,31.28333333333333,1.9708333333333332,1.9275
2023-07-15,103,36.38578947368421,50.23157894736842,0.06957679166666667,0.1882403900392717,59.12599506758655,15.10328112943018,46.21052631578947,0.5526315789473685,1000.6842105263158,77.0,30.010526315789477,0.9052631578947368,2.0968421052631583
2023-07-16,126,42.05,52.584999999999994,0.07812212916666668,0.2663112888254195,56.32713139574814,19.488104683135713,72.35,0.125,998.85,68.8,31.605,0.625,1.7309999999999999
2023-07-17,127,43.34782608695652,54.22173913043477,0.078449,0.34313185290967513,50.48450348078545,16.564888980665355,83.73913043478261,0.07608695652173914,996.8260869565217,56.04347826086956,33.49130434782609,1.126086956521739,2.07
2023-07-18,111,39.54545454545455,49.463636363636354,0.055568041666666665,0.21469747233131026,50.3795460930915,12.667268044038213,98.18181818181819,1.1022727272727273,997.1363636363636,72.18181818181819,29.045454545454547,0.9818181818181819,2.100909090909091
2023-07-19,87,28.291666666666668,35.387499999999996,0.052766291666666666,0.1220326669046769,36.035369774919616,8.769647107411071,93.875,0.65625,1002.25,87.91666666666667,26.608333333333334,1.0708333333333333,1.09375
2023-07-20,112,40.083333333333336,50.125,0.05930370833333334,0.17203605230274904,51.429119970030904,13.787834063318519,82.25,0.71875,1004.9166666666666,89.95833333333333,27.474999999999998,1.0666666666666667,1.0154166666666666
2023-07-21,115,41.291666666666664,51.637499999999996,0.04716279166666667,0.23166201356658334,46.776009115599535,16.077686363586963,67.5,0.23958333333333334,1007.375,79.95833333333333,29.316666666666666,1.1708333333333334,1.0341666666666667
2023-07-22,85,27.25,34.0875,0.057435875000000004,0.2425449268118529,43.38238691349546,14.128875895273394,70.625,0.041666666666666664,1008.125,73.29166666666667,30.858333333333334,1.4375,1.4029166666666668
2023-07-23,69,18.666666666666668,23.35833333333333,0.04996454166666667,0.08610304891110318,24.140199169606344,6.479794807142626,26.291666666666668,0.0,1006.5,71.16666666666667,31.46666666666667,2.733333333333333,1.9158333333333333
2023-07-24,69,18.958333333333332,23.72083333333333,0.04155929166666667,0.07880109425205284,25.18977304654575,7.308039256175893,66.625,0.0,1004.9583333333334,69.375,31.59166666666667,2.7708333333333335,1.3420833333333333
2023-07-25,66,17.25,21.599999999999998,0.043894083333333334,0.08687125455194573,20.991477538788125,8.769647107411071,51.583333333333336,0.0,1004.25,66.79166666666667,31.770833333333332,2.1999999999999997,1.5954166666666667
2023-07-26,74,21.416666666666668,26.799999999999997,0.06070458333333334,0.0845326285255266,26.939062841444763,7.161878471052374,28.416666666666668,0.0,1002.2916666666666,67.83333333333333,32.266666666666666,1.6458333333333333,1.3866666666666667
2023-07-27,128,28.47826086956522,35.621739130434776,0.07877587083333333,0.14830970099964297,32.53679018512159,9.744052341567857,54.869565217391305,0.15217391304347827,998.9565217391304,72.26086956521739,31.926086956521736,1.1043478260869564,1.2826086956521738
2023-07-28,128,36.68421052631579,45.87894736842105,0.07877587083333333,0.17725745001785076,45.831392626354074,10.718457575724644,70.78947368421052,0.5526315789473685,997.7368421052631,81.84210526315789,29.22631578947368,0.6421052631578947,1.0863157894736843
2023-07-29,119,35.53333333333333,44.43999999999999,0.07611420833333334,0.18557967779364515,53.42331033621578,14.616078512351786,74.33333333333333,0.2,998.6666666666666,82.73333333333333,29.986666666666668,0.2866666666666667,0.9546666666666667
